Key,Sensitivity,Factor,Case
VOCCO - near_field,14.244215867152198,VOCCO,near_field
VOCCO - near_field,14.499862317806462,VOCCO,near_field
VOCCO - near_field,14.145941182832702,VOCCO,near_field
VOCCO - near_field,14.29898960404229,VOCCO,near_field
VOCCO - near_field,14.259788202137212,VOCCO,near_field
VOCCO - near_field,13.290297013736266,VOCCO,near_field
VOCCO - near_field,13.90759473208653,VOCCO,near_field
VOCCO - near_field,13.747287712814092,VOCCO,near_field
VOCCO - near_field,13.736395330763044,VOCCO,near_field
VOCCO - near_field,13.526211438287636,VOCCO,near_field
VOCCO - near_field,12.581198003963046,VOCCO,near_field
VOCCO - near_field,13.320016526495023,VOCCO,near_field
VOCCO - near_field,14.099260174714686,VOCCO,near_field
VOCCO - near_field,13.576616661564753,VOCCO,near_field
VOCCO - near_field,14.302812056073359,VOCCO,near_field
VOCCO - near_field,12.663955849314357,VOCCO,near_field
VOCCO - near_field,13.171721826577135,VOCCO,near_field
VOCCO - near_field,14.654410275745452,VOCCO,near_field
VOCCO - near_field,13.637568869357873,VOCCO,near_field
VOCCO - near_field,13.242336280734337,VOCCO,near_field
VOCCO - near_field,12.582244817729618,VOCCO,near_field
VOCCO - near_field,13.126232035460536,VOCCO,near_field
VOCCO - near_field,13.494936695729832,VOCCO,near_field
VOCCO - near_field,13.579808126982044,VOCCO,near_field
VOCCO - near_field,13.377433359297186,VOCCO,near_field
VOCCO - near_field,12.657624873489063,VOCCO,near_field
VOCCO - near_field,13.142994104799683,VOCCO,near_field
VOCCO - near_field,13.549835421725842,VOCCO,near_field
VOCCO - near_field,14.922471776338343,VOCCO,near_field
VOCCO - near_field,13.426419307323114,VOCCO,near_field
VOCCO - near_field,13.749394212166987,VOCCO,near_field
VOCCO - near_field,13.127019129667183,VOCCO,near_field
VOCCO - near_field,12.233120691640808,VOCCO,near_field
VOCCO - near_field,14.197629908213914,VOCCO,near_field
VOCCO - near_field,13.911008660160022,VOCCO,near_field
VOCCO - near_field,13.374771852723155,VOCCO,near_field
VOCCO - near_field,13.431842293731059,VOCCO,near_field
VOCCO - near_field,13.922127353757913,VOCCO,near_field
VOCCO - near_field,13.076218678925784,VOCCO,near_field
VOCCO - near_field,13.231270838448815,VOCCO,near_field
VOCCO - near_field,14.56266196509605,VOCCO,near_field
VOCCO - near_field,13.896725176460247,VOCCO,near_field
VOCCO - near_field,13.06942773755897,VOCCO,near_field
VOCCO - near_field,14.069488004174866,VOCCO,near_field
VOCCO - near_field,13.135063771048545,VOCCO,near_field
VOCCO - near_field,12.669394732419926,VOCCO,near_field
