CoreName,Definition,Chemical Formula,CAS Number,Specificity,Category
C2H5Cl,Chloroethane,C2H5Cl,75-00-3,S,Halogens and Halogenates
CH3CHCl2,"1,1-Dichloroethane",C2H4Cl2,75-34-3,S,Halogens and Halogenates
CH2ClCH2Cl,"1,2-Dichloroethane",C2H4Cl2,107-06-02,S,Halogens and Halogenates
CH3CCl3,"Methyl chloroform; 1,1,1- Trichloroethane",C2H3Cl3,71-55-6,S,Halogens and Halogenates
CHCl2CH2Cl,"1,1,2-Trichloroethane",C2H3Cl3,79-00-5,S,Halogens and Halogenates
CHCl2CHCl2,"1,1,2,2-Tetrachloroethane",C2H2Cl4,79-34-5,S,Halogens and Halogenates
C2H3Cl,Chloroethene,C2H3Cl,75-01-4,S,Halogens and Halogenates
tCHClCHCl,"trans-1,2-Dichloroethene",C2H2Cl2,156-60-5,S,Halogens and Halogenates
cCHClCHCl,"cis-1,2-Dichloroethene",C2H2Cl2,156-59-2,S,Halogens and Halogenates
CCl2CH2,"1,1-Dichloroethene",C2H2Cl2,75-35-4,S,Halogens and Halogenates
C2HCl3,Trichloroethene,C2HCl3,79-01-6,S,Halogens and Halogenates
C2Cl4,Tetrachloroethene,C2Cl4,127-18-4,S,Halogens and Halogenates
x12DiClPropane,"1,2-Dichloropropane",C3H6Cl2,78-87-5,S,Halogens and Halogenates
x123TriClPropane,"1,2,3-Trichloropropane",C3H5Cl3,96-18-4,S,Halogens and Halogenates
x13DiClPropene,"1,3-Dichloropropene",C3H4Cl2,542-75-6,S,Halogens and Halogenates
x23DiCl1Propene,"2,3-Dichloro-1-propene",C3H4Cl2,78-88-6,S,Halogens and Halogenates
HexClButadiene,Hexachlorobutadiene,C4Cl6,87-68-3,S,Halogens and Halogenates
ClBenzene,Chlorobenzene,C6H5Cl,108-90-7,S,Halogens and Halogenates
pDiClBenzene,"1,4-Dichlorobenzene",C6H4Cl2,106-46-7,S,Halogens and Halogenates
mDiClBenzene,"1,3-Dichlorobenzene",C6H4Cl2,541-73-1,S,Halogens and Halogenates
oDiClBenzene,"1,2-Dichlorobenzene-",C6H4Cl2,95-50-1,S,Halogens and Halogenates
x124TriClBenzene,"1,2,4-Trichlorobenzene",C6H3Cl3,120-82-1,S,Halogens and Halogenates
x123TriClBenzene,"1,2,3-Trichlorobenzene",C6H3Cl3,87-61-6,S,Halogens and Halogenates
x135TriClBenzene,"1,3,5-Trichlorobenzene",C6H3Cl3,108-70-3,S,Halogens and Halogenates
aClToluene,Benzyl chloride,C7H7Cl,100-44-7,S,Halogens and Halogenates
oClToluene,1-Chloro-2-methylbenzene,C7H7Cl,95-49-8,S,Halogens and Halogenates
pClToluene,1-Chloro-4-methylbenzene,C7H7Cl,95-49-8,S,Halogens and Halogenates
mClToluene,1-Chloro-3-methylbenzene,C7H7Cl,108-41-8,S,Halogens and Halogenates
CH3Br,Bromomethane,CH3Br,74-83-9,S,Halogens and Halogenates
CH2Br2,Dibromomethane,CH2Br2,74-95-3,S,Halogens and Halogenates
CHBr3,Bromoform,CHBr3,75-25-2,S,Halogens and Halogenates
C2H5Br,Bromoethane,C2H5Br,74-96-4,S,Halogens and Halogenates
CH2BrCH2Br,"1,2-Dibromoethane",C2H4Br2,106-93-4,S,Halogens and Halogenates
nC3H7Br,n-Propyl bromide,C3H7Br,106-94-5,S,Halogens and Halogenates
BrBenzene,Bromobenzene,C6H5Br,108-86-1,S,Halogens and Halogenates
CH3I,Iodomethane,CH3I,74-88-4,S,Halogens and Halogenates
CH2I2,Diiodomethane,CH2I2,75-11-6,S,Halogens and Halogenates
C2H5I,Iodoethane,C2H5I,75-03-6,S,Halogens and Halogenates
CH2BrCl,Bromochloromethane,CH2BrCl,74-97-5,S,Halogens and Halogenates
CHBr2Cl,Dibromochloromethane,CHBr2Cl,124-48-1,S,Halogens and Halogenates
CHBrCl2,Bromodichloromethane,CHBrCl2,75-27-4,S,Halogens and Halogenates
CH2BrCHBrCH2Cl,"1,2-Dibromo-3-chloropropane",C3H5Br2Cl,96-12-8,S,Halogens and Halogenates
CH2ClI,Chloroiodomethane,CH2ClI,593-71-5,S,Halogens and Halogenates
CH2BrI,Bromoiodomethane,CH2BrI,557-68-6,S,Halogens and Halogenates
CFC11,Trichlorofluoromethane,CCl3F,75-69-4,S,Halogens and Halogenates
CFC12,Dichlorodifluoromethane,CCl2F2,75-71-8,S,Halogens and Halogenates
CFC13,Chlorotrifluoromethane,CClF3,75-72-9,S,Halogens and Halogenates
CF4,Tetrafluoromethane,CF4,75-73-0,S,Halogens and Halogenates
CFC112,"Tetrachloro-1,2-difluoroethane",C2Cl4F2,76-12-0,S,Halogens and Halogenates
CFC113,"1,1,2-Trichlorotrifluoroethane",C2Cl3F3,76-13-1,S,Halogens and Halogenates
CFC114,"1,2-Dichlorotetrafluoroethane",C2Cl2F4,76-14-2,S,Halogens and Halogenates
CFC115,Chloropentafluoroethane,C2ClF5,76-15-3,S,Halogens and Halogenates
C2F6,Hexafluoroethane,C2F6,76-16-4,S,Halogens and Halogenates
pClBenzoTriF,1-Chloro-4- (trifluoromethyl)benzene (PCBTF),C7H4ClF3,98-56-6,S,Halogens and Halogenates
H1202,Dibromodifluoromethane,CBr2F2,75-61-6,S,Halogens and Halogenates
H1211,Bromochlorodifluoromethane,CBrClF2,353-59-3,S,Halogens and Halogenates
H1301,Bromotrifluoromethane,CBrF3,75-63-8,S,Halogens and Halogenates
H2402,"1,2-Dibromotetrafluoroethane",C2Br2F4,124-73-2,S,Halogens and Halogenates
HCFC123,"1,1-Dichloro-2,2,2- trifluoroethane",C2HCl2F3,306-83-2,S,Halogens and Halogenates
HCFC124,"1-Chloro-1,2,2,2- tetrafluoroethane",C2HClF4,2837-89-0,S,Halogens and Halogenates
HCFC141b,"1,1-Dichloro-1-fluoroethane",C2H3Cl2F,1717-00-6,S,Halogens and Halogenates
HCFC142b,"1-Chloro-1,1-difluoroethane",C2H3ClF2,75-68-3,S,Halogens and Halogenates
HCFC133a,"1-Chloro-2,2,2-trifluoroethane",C2H2ClF3,75-88-7,S,Halogens and Halogenates
HCFC21,Dichlorofluoromethane,CHCl2F,75-43-4,S,Halogens and Halogenates
HCFC22,Chlorodifluoromethane,CHClF2,75-45-6,S,Halogens and Halogenates
HFC125,Pentafluoroethane,C2HF5,354-33-6,S,Halogens and Halogenates
HFC134a,"1,1,1,2-Tetrafluoroethane",C2H2F4,811-97-2,S,Halogens and Halogenates
HFC143a,"1,1,1-Trifluoroethane",C2H3F3,420-46-2,S,Halogens and Halogenates
HFC152a,"1,1-Difluoroethane",C2H4F2,75-37-6,S,Halogens and Halogenates
C3F8,Octafluoropropane,C3F8,76-19-7,S,Halogens and Halogenates
HFC23,Trifluoromethane,CHF3,75-46-7,S,Halogens and Halogenates
HFC227ea,"1,1,1,2,3,3,3- Heptafluoropropane",C3HF7,431-89-0,S,Halogens and Halogenates
HFC32,Difluoromethane,CH2F2,75-10-5,S,Halogens and Halogenates
HFC365mfc,"1,1,1,3,3-Pentafluorobutane",C4H5F5,406-58-6,S,Halogens and Halogenates
HFC236fa,"1,1,1,3,3,3-Hexafluoropropane",C3H2F6,690-39-1,S,Halogens and Halogenates
CH4,Methane,CH4,74-82-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x13CH4,13CH4-Methane,13CH4,14762-74-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x14CH4,14CH4-Methane,14CH4,2772-68-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
CH3D,CH3D-Methane,CH3D,676-49-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Ethane,Ethane,C2H6,74-84-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Ethene,Ethene,C2H4,74-85-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Ethyne,Ethyne,C2H2,74-86-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Propane,Propane,C3H8,74-98-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Propene,Propene,C3H6,0115-07-01,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Propyne,Propyne,C3H4,74-99-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Propadiene,Propadiene,C3H4,463-49-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nButane,n-Butane,C4H10,106-97-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
iButane,Isobutane,C4H10,75-28-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
iButene,Isobutene,C4H8,0115-11-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Butene,1-Butene,C4H8,106-98-9,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
iButeneAnd1Butene,Sum of Isobutene and 1-Butene,C4H8,N/A,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
c2Butene,cis-2-Butene,C4H8,590-18-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
t2Butene,trans-2-Butene,C4H8,624-64-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
CycButane,Cyclobutane,C4H8,287-23-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x13Butadiene,"1,3-Butadiene",C4H6,106-99-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x12Butadiene,"1,2-Butadiene",C4H6,590-19-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Butyne,1-Butyne,C4H6,107-00-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2Butyne,2-Butyne,C4H6,503-17-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Buten3yne,1-Buten-3-yne,C4H4,689-97-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x13Butadiyne,"1,3-Butadiyne",C4H2,460-12-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nPentane,n-Pentane,C5H12,109-66-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
iPentane,Isopentane,C5H12,78-78-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Neopentane,Neopentane,C5H12,463-82-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Pentene,1-Pentene,C5H10,109-67-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
c2Pentene,cis-2-Pentene,C5H10,627-20-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
t2Pentene,trans-2-Pentene,C5H10,0646-04-08,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2Me1Butene,2-Methyl-1-butene,C5H10,563-46-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x3Me1Butene,3-Methyl-1-butene,C5H10,563-45-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2Me2Butene,2-Methyl-2-butene,C5H10,513-35-9,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
CycPentane,Cyclopentane,C5H10,287-92-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
CycPentene,Cyclopentene,C5H8,142-29-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Z13Pentadiene,"(Z)-1,3-Pentadiene",C5H8,1574-41-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
E13Pentadiene,"(E)-1,3-Pentadiene",C5H8,2004-70-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x13Pentadienes,"Sum of (E)-1,3-Pentadiene and (Z)-1,3-Pentadiene",C5H8,504-60-9,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
Isoprene,Isoprene,C5H8,78-79-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
IsopreneAndFuran,Sum of Isoprene and Furan,N/A,N/A,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
nHexane,n-Hexane,C6H14,110-54-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2MePentane,2-Methylpentane,C6H14,107-83-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x3MePentane,3-Methylpentane,C6H14,96-14-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
MePentanes,Sum of 2-Methylpentane and 3- Methylpentane,C6H14,N/A,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x22DimeButane,"2,2-Dimethylbutane",C6H14,75-83-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x23DimeButane,"2,3-Dimethylbutane",C6H14,79-29-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x1Hexene,1-Hexene,C6H12,592-41-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x2Me1Pentene,2-Methyl-1-pentene,C6H12,763-29-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x32Me1Pentene,3-Methyl-1-pentene,C6H12,760-20-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
x4Me1Pentene,4-Methyl-1-pentene,C6H12,691-37-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes"
